Numero_Decreto;Data_Decreto;Tipologia;CUP;Capitolo_di_Spesa;Piano_Gestionale;Ministero;Importo_EUR;Documento;Cartella
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_6.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_7.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_8.pdf;Decreto Dirigenziale del 28_07_2009
;28-07-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_28-07-2009_all_9.pdf;Decreto Dirigenziale del 28_07_2009
;29-01-2010;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_29-01-2010_all_1.pdf;Decreto Dirigenziale del 29_01_2010
;29-09-2011;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_29-09-2011_all_1.pdf;Decreto Dirigenziale del 29_09_2011
;29-09-2011;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_29-09-2011_all_2.pdf;Decreto Dirigenziale del 29_09_2011
;29-10-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_29-10-2009_all_1.pdf;Decreto dirigenziale del 29_10_2009
;30-05-2000;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_30-05-2000_all_1.pdf;Decreto Dirigenziale del 30_05_2000
;30-05-2000;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_30-05-2000_all_2.pdf;Decreto Dirigenziale del 30_05_2000
;31-01-2011;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_31-01-2011_all_1.pdf;Decreto Dirigenziale del 31_01_2011
;31-01-2012;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_31-01-2012_all_1.pdf;Decreto Dirigenziale del 31_01_2012
;04-11-2009;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_04-11-2009_all_1.pdf;Decreto dirigenziale del 4_11_2009
;05-02-2010;Decreto Dirigenziale;;;;;;Decreto_Dirigenziale_05-02-2010_all_1.pdf;Decreto Dirigenziale del 5_02_2010
409;;Decreto Dirigenziale;C90B22000030001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G40A22000120001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D29I22000770001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B79I22009970008;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D30I23000000001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G90I22000050001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B59I22003710001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;H50I22000010001;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;J40I22000000003;7248;;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;C90B22000030001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G40A22000120001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D29I22000770001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B79I22009970008;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;D30I23000000001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;G90I22000050001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
409;;Decreto Dirigenziale;B59I22003710001;7248;13;ITOLO;;D.D.n.409-del-26.11.2024-Impegno2023-2026.pdf;Decreto dirigenziale di impegno n_ 409 del 26_11_2
